"Nom de l'element";"Numero atomique";"Symbole";"Masse atomique"
"Hydrogene";1;"H";"1.007975"
"Helium";2;"He";"4.002602"
"Lithium";3;"Li";"6.9395"
"Beryllium";4;"Be";"9.012183"
"Bore";5;"B";"10.8135"
"Carbone";6;"C";"12.0106"
"Azote";7;"N";"14.006855"
"Oxygene";8;"O";"15.9994"
"Fluor";9;"F";"18.998403"
"Neon";10;"Ne";"20.1797"
"Sodium";11;"Na";"22.989769"
"Magnesium";12;"Mg";"24.3055"
"Aluminium";13;"Al";"26.981538"
"Silicium";14;"Si";"28.085"
"Phosphore";15;"P";"30.973762"
"Soufre";16;"S";"32.0675"
"Chlore";17;"Cl";"35.4515"
"Argon";18;"Ar";"39.948"
"Potassium";19;"K";"39.0983"
"Calcium";20;"Ca";"40.078"
"Scandium";21;"Sc";"44.955908"
"Titane";22;"Ti";"47.867"
"Vanadium";23;"V";"50.9415"
"Chrome";24;"Cr";"51.9961"
"Manganese";25;"Mn";"54.938044"
"Fer";26;"Fe";"55.845"
"Cobalt";27;"Co";"58.933194"
"Nickel";28;"Ni";"58.6934"
"Cuivre";29;"Cu";"63.546"
"Zinc";30;"Zn";"65.38"
"Gallium";31;"Ga";"69.723"
"Germanium";32;"Ge";"72.63"
"Arsenic";33;"As";"74.921595"
"Selenium";34;"Se";"78.971"
"Brome";35;"Br";"79.904"
"Krypton";36;"Kr";"83.798"
"Rubidium";37;"Rb";"85.4678"
"Strontium";38;"Sr";"87.62"
"Yttrium";39;"Y";"88.90584"
"Zirconium";40;"Zr";"91.224"
"Niobium";41;"Nb";"92.90637"
"Molybdene";42;"Mo";"95.95"
"Technetium";43;"Tc";98
"Ruthenium";44;"Ru";"101.07"
"Rhodium";45;"Rh";"102.9055"
"Palladium";46;"Pd";"106.42"
"Argent";47;"Ag";"107.8682"
"Cadmium";48;"Cd";"112.414"
"Indium";49;"In";"114.818"
"Etain";50;"Sn";"118.71"
"Antimoine";51;"Sb";"121.76"
"Tellure";52;"Te";"127.6"
"Iode";53;"I";"126.90447"
"Xenon";54;"Xe";"131.293"
"Cesium";55;"Cs";"132.905452"
"Baryum";56;"Ba";"137.327"
"Lanthane";57;"La";"138.90547"
"Cerium";58;"Ce";"140.116"
"Praseodyme";59;"Pr";"140.90766"
"Neodyme";60;"Nd";"144.242"
"Promethium";61;"Pm";145
"Samarium";62;"Sm";"150.36"
"Europium";63;"Eu";"151.964"
"Gadolinium";64;"Gd";"157.25"
"Terbium";65;"Tb";"158.92535"
"Dysprosium";66;"Dy";"162.5"
"Holmium";67;"Ho";"164.93033"
"Erbium";68;"Er";"167.259"
"Thulium";69;"Tm";"168.93422"
"Ytterbium";70;"Yb";"173.045"
"Lutecium";71;"Lu";"174.9668"
"Hafnium";72;"Hf";"178.49"
"Tantale";73;"Ta";"180.94788"
"Tungstene";74;"W";"183.84"
"Rhenium";75;"Re";"186.207"
"Osmium";76;"Os";"190.23"
"Iridium";77;"Ir";"192.217"
"Platine";78;"Pt";"195.084"
"Or";79;"Au";"196.966569"
"Mercure";80;"Hg";"200.592"
"Thallium";81;"Tl";"204.38"
"Plomb";82;"Pb";"207.2"
"Bismuth";83;"Bi";"208.9804"
"Polonium";84;"Po";209
"Astate";85;"At";210
"Radon";86;"Rn";222
"Francium";87;"Fr";223
"Radium";88;"Ra";226
"Actinium";89;"Ac";227
"Thorium";90;"Th";"232.0377"
"Protactinium";91;"Pa";"231.03588"
"Uranium";92;"U";"238.02891"
"Neptunium";93;"Np";237
"Plutonium";94;"Pu";244
"Americium";95;"Am";243
"Curium";96;"Cm";247
"Berkelium";97;"Bk";247
"Californium";98;"Cf";251
"Einsteinium";99;"Es";252
"Fermium";100;"Fm";257
"Mendelevium";101;"Md";258
"Nobelium";102;"No";259
"Lawrencium";103;"Lr";266
"Rutherfordium";104;"Rf";267
"Dubnium";105;"Db";268
"Seaborgium";106;"Sg";269
"Bohrium";107;"Bh";270
"Hassium";108;"Hs";269
"Meitnerium";109;"Mt";278
"Darmstadtium";110;"Ds";281
"Roentgenium";111;"Rg";282
"Copernicium";112;"Cn";285
"Nihonium";113;"Nh";286
"Flerovium";114;"Fl";289
"Moscovium";115;"Mc";290
"Livermorium";116;"Lv";293
"Tennessine";117;"Ts";294
"Oganesson";118;"Og";294
